Sale Date,Vessel Name,Sale Price_USD_millions,Year Built,Age_at_Sale_years,Deadweight_000_tons,Trailing1yrAvgMonthlyBDI
Jan-07,Lowlands Belluno,$73.0M,1999,8,170.2k tons,"4,647"
Jan-07,CHS Moon,$45.0M,1991,16,150.2k tons,"4,647"
Jan-07,Spring Brave,$62.0M,1995,12,151.1k tons,"4,647"
Jan-07,Martha Verity,$60.0M,1995,12,158.0k tons,"4,647"
Jan-07,TTM TBN,$61.3M,1993,14,174.7k tons,"4,647"
Feb-07,Pantelis SP,$83.0M,1999,8,169.9k tons,"4,878"
Feb-07,Amazon,$45.0M,1990,17,149.5k tons,"4,878"
Mar-07,Cape Kassos,$100.0M,2004,3,170.0k tons,"5,245"
Mar-07,Johnny K,$65.0M,1994,13,165.3k tons,"5,245"
Mar-07,Zorbas,$70.0M,1996,11,165.1k tons,"5,245"
Mar-07,Americana,$33.0M,1987,20,149.0k tons,"5,245"
Mar-07,Martha Verity,$63.0M,1995,12,158.0k tons,"5,245"
Mar-07,Ulstwater,$43.0M,1990,17,123.5k tons,"5,245"
Apr-07,Formosabulk Brave,$95.0M,2001,6,170.1k tons,"5,752"
Apr-07,Formosabulk Clement,$95.0M,2001,6,170.1k tons,"5,752"
Apr-07,Nautical Dream,$63.5M,1994,13,151.4k tons,"5,752"
Apr-07,Formosabulk Allstart,$67.0M,1995,12,150.4k tons,"5,752"
Apr-07,Arimathian,$62.0M,1994,13,149.8k tons,"5,752"
Apr-07,Boss,$31.0M,1985,22,139.8k tons,"5,752"
Apr-07,Zorbas II,$86.0M,1996,11,174.5k tons,"6,201"
May-07,Fertilia,$50.5M,1997,10,172.6k tons,"6,201"
May-07,Ingenious,$64.2M,1996,11,170.0k tons,"6,201"
Jun-07,Anangel Dawn,$67.0M,1994,13,149.3k tons,"6,618"
Jul-07,Orient Fortune,$28.0M,1984,23,161.4k tons,"6,618"
Jul-07,Great Moon,$30.0M,1984,23,140.6k tons,"6,980"
Jul-07,Gran Trader,$105.0M,2001,6,172.5k tons,"7,411"
Aug-07,Cape Brazil,$22.0M,1981,26,140.8k tons,"7,411"
Sep-07,Thalassini Kyra,$133.0M,2002,5,164.2k tons,"8,181"
Sep-07,Tiger Lily,$90.0M,1995,12,149.2k tons,"8,181"
Oct-07,Dong-A Helios,$47.0M,1986,21,146.9k tons,"8,886"
Oct-07,Marine Hunter,$45.0M,1984,23,164.5k tons,"8,886"
Oct-07,Peace Glory,$57.0M,1984,23,166.1k tons,"8,886"
Nov-07,Sumihou,$106.0M,1996,11,171.1k tons,"9,663"
Nov-07,Gran Trader,$152.0M,2001,6,172.6k tons,"9,663"
Nov-07,Netadola,$97.0M,1993,14,149.5k tons,"9,663"
Nov-07,Nordstar,$38.0M,1983,24,150.7k tons,"9,663"
Nov-07,Capitan Vangelis L,$87.5M,1992,15,148.2k tons,"9,663"
Dec-07,Voutakos,$78.0M,1987,20,188.3k tons,"10,299"
Dec-07,Sauchest,$35.0M,1986,21,98.4k tons,"10,299"
Dec-07,Sinfonia,$83.7M,1990,17,184.4k tons,"10,299"
Jan-08,Jin Tai,$155.0M,2004,4,173.9k tons,"10,526"
Feb-08,Dias,$58.0M,1984,20,135.0k tons,"10,848"
Mar-08,Desimi,$83.0M,1989,19,207.1k tons,"11,193"
Mar-08,Samos,$25.0M,1982,26,167.0k tons,"11,193"
Mar-08,Cape Sun,$135.0M,1999,9,171.7k tons,"11,193"
Apr-08,Nightflight,$158.0M,2004,4,170.0k tons,"11,614"
Apr-08,Cape Falcon,$87.2M,1993,15,161.5k tons,"12,479"
May-08,Castle Peak,$82.0M,1990,18,145.4k tons,"12,479"
Jan-08,BET Performer,Unknown,1997,11,172.0k tons,Unknown
